drive,seed,mode,separation,within_corr,across_corr,internal_spread,broken,collective_mean_norm,max_update_speed
1.3,17,random_matched,0.03007915494184979,0.1523449874113701,0.1222658324695203,1.5790966503772987,1,4.491679655600621e-16,3.000000000000775
1.3,18,stress,0.036959720266981855,0.18195847340956509,0.14499875314258323,0.6060617270494705,4,8.323073962031603e-16,3.000000000000996
1.3,18,random_matched,0.07559734444746219,0.2172925979114862,0.141695253464024,0.3136910422907886,4,1.8228978928076385e-15,3.000000000000997
1.3,19,stress,0.06148425223391055,0.1877299006030767,0.12624564836916616,0.4998217845641473,4,1.037539321088335e-15,3.0000000000009988
1.3,19,random_matched,0.014596318458955093,0.14639324378049767,0.13179692532154258,0.49531369789002316,4,1.7129685538216909e-15,3.0000000000009983
1.3,20,stress,0.042079474499831765,0.19812720421637567,0.1560477297165439,0.5881623047655088,6,3.689450482456283e-16,3.0000000000009828
1.3,20,random_matched,0.05899200390534021,0.20261663660879778,0.14362463270345757,0.4011197880404646,6,8.75572449300537e-16,3.000000000000998
1.3,21,stress,0.09820622715757804,0.25044043597340687,0.15223420881582883,0.18017070306769176,10,6.667118051786499e-16,3.0000000000009974
1.3,21,random_matched,0.13192818504986334,0.26636629522734223,0.1344381101774789,0.2733153454665039,10,1.4671782096397198e-15,3.00000000000099
1.3,22,stress,0.025564363352565705,0.1546291965794227,0.129064833226857,0.49329213185998694,7,2.251074338154753e-16,3.000000000000998
1.3,22,random_matched,0.07587952336016102,0.20143330232159573,0.12555377896143471,0.18312317746130427,7,6.904267234525654e-16,3.0000000000009748
1.3,23,stress,0.050776353248255385,0.17811752578093404,0.12734117253267865,1.211089638702746,3,1.3048728921282528e-15,3.000000000000995
1.3,23,random_matched,0.05914116442198178,0.18324972146730292,0.12410855704532114,0.4511919258507552,3,5.782411586589357e-16,3.0000000000009934
1.3,24,stress,,0.12686973338042262,,1.112675834610002,0,2.4609987189264743e-16,3.0000000000008873
1.3,24,random_matched,,0.12686973338042262,,1.112675834610002,0,2.4609987189264743e-16,3.0000000000008873
1.3,25,stress,0.012148473762348039,0.15490577154454976,0.14275729778220173,0.29263163531790093,7,1.796385988012831e-16,3.000000000000995
1.3,25,random_matched,0.06754309688041871,0.194232953391783,0.1266898565113643,0.42353570501803744,7,5.428129348768715e-16,3.0000000000009925
1.3,26,stress,0.03957847799360757,0.15703515663775636,0.11745667864414878,1.495012261042016,1,9.581377480696253e-16,3.000000000000941
1.3,26,random_matched,0.06905318692465169,0.16982112611301906,0.10076793918836736,3.288511857882072,1,1.613396871261371e-15,3.000000000000941
1.3,27,stress,0.10332967175646315,0.24528451241319466,0.1419548406567315,0.4603385704049322,6,1.2390454616141738e-15,3.0000000000009392
1.3,27,random_matched,0.10159038657980995,0.24514884218194366,0.1435584556021337,0.3383295300319699,6,3.0342182048611953e-16,3.0000000000009703
1.3,28,stress,0.026226976559872675,0.1499507982118691,0.12372382165199643,0.408197077035571,3,2.520529001023699e-15,3.0000000000009908
1.3,28,random_matched,0.027262554462299887,0.15708091810136526,0.12981836363906538,0.7636404327910742,3,4.961848264597093e-16,3.0000000000009273
1.3,29,stress,0.04078587414727956,0.16179094421891158,0.12100507007163201,0.9959706747590549,3,1.4451865030437892e-16,3.000000000000971
1.3,29,random_matched,0.029645957693717806,0.15655217404139907,0.12690621634768126,0.7682362835088147,3,1.2428176919397965e-15,3.000000000000965
1.3,30,stress,0.01983903290733352,0.16647628304263132,0.1466372501352978,0.8693373835319461,1,1.4378103324537143e-15,3.0000000000009943
1.3,30,random_matched,0.027191588503049008,0.16727558110643223,0.14008399260338322,0.821594133118456,1,2.1440820369436218e-16,3.000000000000943
1.3,31,stress,0.025215392485019195,0.15630592131380422,0.13109052882878502,0.37672729298249075,2,1.3278694765292112e-16,3.000000000000989
1.3,31,random_matched,0.02069337223444373,0.1628532840261697,0.14215991179172596,0.4996412317918304,2,8.695824252021423e-16,3.000000000000985
1.3,32,stress,0.03413018896074771,0.16482174738497313,0.13069155842422542,0.5802472142085335,4,7.910102340005504e-16,3.000000000000972
1.3,32,random_matched,0.053432682559706235,0.1853486840836367,0.13191600152393046,0.6524578105167473,4,6.156139609975045e-16,3.000000000000972
1.3,33,stress,0.035065795054874394,0.1712691397329987,0.1362033446781243,1.8487264446672582,3,5.908447673400697e-16,3.000000000000997
1.3,33,random_matched,0.03116627459492813,0.16861840832441366,0.13745213372948553,0.42155691200326345,3,7.659545739199954e-16,3.0000000000009037
1.3,34,stress,-0.003426737751726333,0.14354497541806158,0.1469717131697879,0.4049274665008478,2,3.612966257609473e-16,3.0000000000009086
1.3,34,random_matched,-0.009491276552762412,0.13985112839148428,0.1493424049442467,0.4229509015622657,2,6.405200048380143e-16,3.000000000000902
