model,seed,family,direction,normalized_trajectory_l2_error,memory_rms
diffusion_reaction,26090435,heldout_two_lobe_mode,minus,0.0056434531245069955,0.0015475966141568723
diffusion_reaction,26090436,heldout_harmonic_mode,plus,0.005648519629083705,0.0019197461139617753
diffusion_reaction,26090436,heldout_harmonic_mode,minus,0.005638734338632603,0.0019197461139617753
diffusion_reaction,26090436,heldout_two_lobe_mode,plus,0.005643750422442398,0.0015132658141173655
diffusion_reaction,26090436,heldout_two_lobe_mode,minus,0.005643453124507008,0.0015475966141568725
diffusion_reaction,26090437,heldout_harmonic_mode,plus,0.005648519629083725,0.001919746113961776
diffusion_reaction,26090437,heldout_harmonic_mode,minus,0.005638734338632617,0.0019197461139617753
diffusion_reaction,26090437,heldout_two_lobe_mode,plus,0.005643750422442389,0.0015132658141173653
diffusion_reaction,26090437,heldout_two_lobe_mode,minus,0.005643453124507013,0.0015475966141568728
diffusion_reaction,26090438,heldout_harmonic_mode,plus,0.005648519629083697,0.0019197461139617755
diffusion_reaction,26090438,heldout_harmonic_mode,minus,0.005638734338632609,0.0019197461139617755
diffusion_reaction,26090438,heldout_two_lobe_mode,plus,0.0056437504224423705,0.0015132658141173653
