seed,family,direction,kernel_error,f_only_error,maxwell_error,present_match_max_abs
26092434,heldout_diagonal_mode,plus,0.0,2.3266578578212874e-05,2.3266578578212874e-05,0.0
26092434,heldout_diagonal_mode,minus,0.0,2.3283746791929783e-05,2.3283746791929783e-05,0.0
26092435,calibration_mode_a,plus,0.0,2.2156900970697753e-05,2.2156900970697753e-05,0.0
26092435,calibration_mode_a,minus,0.0,2.252917851135417e-05,2.252917851135417e-05,0.0
26092435,calibration_mode_b,plus,0.0,2.8836447716829678e-05,2.8836447716829678e-05,0.0
26092435,calibration_mode_b,minus,0.0,1.564519046871416e-05,1.564519046871416e-05,0.0
26092435,heldout_harmonic_mode,plus,0.0,2.8152247477561536e-05,2.8152247477561536e-05,0.0
26092435,heldout_harmonic_mode,minus,0.0,2.8173571021881068e-05,2.8173571021881068e-05,0.0
26092435,heldout_two_lobe_mode,plus,0.0,2.1292810681836865e-05,2.1292810681836865e-05,0.0
26092435,heldout_two_lobe_mode,minus,0.0,2.1915013344847003e-05,2.1915013344847003e-05,0.0
26092435,heldout_diagonal_mode,plus,0.0,2.3266578578228863e-05,2.3266578578228863e-05,0.0
26092435,heldout_diagonal_mode,minus,0.0,2.328374679192251e-05,2.328374679192251e-05,0.0
26092436,calibration_mode_a,plus,0.0,2.2156900970688493e-05,2.2156900970688493e-05,0.0
26092436,calibration_mode_a,minus,0.0,2.252917851135485e-05,2.252917851135485e-05,0.0
26092436,calibration_mode_b,plus,0.0,2.883644771683197e-05,2.883644771683197e-05,0.0
26092436,calibration_mode_b,minus,0.0,1.5645190468723787e-05,1.5645190468723787e-05,0.0
26092436,heldout_harmonic_mode,plus,0.0,2.8152247477546164e-05,2.8152247477546164e-05,0.0
26092436,heldout_harmonic_mode,minus,0.0,2.8173571021886686e-05,2.8173571021886686e-05,0.0
26092436,heldout_two_lobe_mode,plus,0.0,2.129281068184709e-05,2.129281068184709e-05,0.0
26092436,heldout_two_lobe_mode,minus,0.0,2.1915013344843232e-05,2.1915013344843232e-05,0.0
26092436,heldout_diagonal_mode,plus,0.0,2.326657857824484e-05,2.326657857824484e-05,0.0
26092436,heldout_diagonal_mode,minus,0.0,2.3283746791916762e-05,2.3283746791916762e-05,0.0
26092437,calibration_mode_a,plus,0.0,2.2156900970688835e-05,2.2156900970688835e-05,0.0
26092437,calibration_mode_a,minus,0.0,2.252917851134616e-05,2.252917851134616e-05,0.0
26092437,calibration_mode_b,plus,0.0,2.8836447716838297e-05,2.8836447716838297e-05,0.0
26092437,calibration_mode_b,minus,0.0,1.5645190468719322e-05,1.5645190468719322e-05,0.0
26092437,heldout_harmonic_mode,plus,0.0,2.815224747753912e-05,2.815224747753912e-05,0.0
26092437,heldout_harmonic_mode,minus,0.0,2.8173571021889704e-05,2.8173571021889704e-05,0.0
26092437,heldout_two_lobe_mode,plus,0.0,2.1292810681844248e-05,2.1292810681844248e-05,0.0
26092437,heldout_two_lobe_mode,minus,0.0,2.1915013344835195e-05,2.1915013344835195e-05,0.0
26092437,heldout_diagonal_mode,plus,0.0,2.3266578578219135e-05,2.3266578578219135e-05,0.0
26092437,heldout_diagonal_mode,minus,0.0,2.3283746791918924e-05,2.3283746791918924e-05,0.0
26092438,calibration_mode_a,plus,0.0,2.2156900970688497e-05,2.2156900970688497e-05,0.0
26092438,calibration_mode_a,minus,0.0,2.2529178511335048e-05,2.2529178511335048e-05,0.0
26092438,calibration_mode_b,plus,0.0,2.883644771682693e-05,2.883644771682693e-05,0.0
26092438,calibration_mode_b,minus,0.0,1.564519046870555e-05,1.564519046870555e-05,0.0
26092438,heldout_harmonic_mode,plus,0.0,2.8152247477531094e-05,2.8152247477531094e-05,0.0
