model,seed,family,direction,relaxation_rate,equilibrium_gain,normalized_trajectory_l2_error
maxwell,26092404,calibration_mode_a,plus,0.05,0.0,2.2156900970685258e-05
maxwell,26092404,calibration_mode_a,plus,0.05,0.01,2.271285339820995e-05
maxwell,26092404,calibration_mode_a,plus,0.05,0.05,2.516180439937198e-05
maxwell,26092404,calibration_mode_a,plus,0.1,0.0,2.2156900970685258e-05
maxwell,26092404,calibration_mode_a,plus,0.1,0.01,2.3215141310911872e-05
maxwell,26092404,calibration_mode_a,plus,0.1,0.05,2.8155422208496182e-05
maxwell,26092404,calibration_mode_a,plus,0.2,0.0,2.2156900970685258e-05
maxwell,26092404,calibration_mode_a,plus,0.2,0.01,2.4067783113086817e-05
maxwell,26092404,calibration_mode_a,plus,0.2,0.05,3.3561993094707515e-05
maxwell,26092404,calibration_mode_a,plus,0.4,0.0,2.2156900970685258e-05
maxwell,26092404,calibration_mode_a,plus,0.4,0.01,2.5268059657470363e-05
maxwell,26092404,calibration_mode_a,plus,0.4,0.05,4.147056439318608e-05
maxwell,26092404,calibration_mode_a,minus,0.05,0.0,2.2529178511342553e-05
maxwell,26092404,calibration_mode_a,minus,0.05,0.01,2.3086992670943514e-05
maxwell,26092404,calibration_mode_a,minus,0.05,0.05,2.5540527454330934e-05
maxwell,26092404,calibration_mode_a,minus,0.1,0.0,2.2529178511342553e-05
maxwell,26092404,calibration_mode_a,minus,0.1,0.01,2.3590584073700242e-05
maxwell,26092404,calibration_mode_a,minus,0.1,0.05,2.853537957589969e-05
maxwell,26092404,calibration_mode_a,minus,0.2,0.0,2.2529178511342553e-05
maxwell,26092404,calibration_mode_a,minus,0.2,0.01,2.4444699412481464e-05
maxwell,26092404,calibration_mode_a,minus,0.2,0.05,3.393964612015188e-05
maxwell,26092404,calibration_mode_a,minus,0.4,0.0,2.2529178511342553e-05
maxwell,26092404,calibration_mode_a,minus,0.4,0.01,2.5645442174462344e-05
maxwell,26092404,calibration_mode_a,minus,0.4,0.05,4.1840832272687026e-05
maxwell,26092404,calibration_mode_b,plus,0.05,0.0,2.8836447716840005e-05
maxwell,26092404,calibration_mode_b,plus,0.05,0.01,2.9556647995375904e-05
maxwell,26092404,calibration_mode_b,plus,0.05,0.05,3.2592738786262265e-05
maxwell,26092404,calibration_mode_b,plus,0.1,0.0,2.8836447716840005e-05
maxwell,26092404,calibration_mode_b,plus,0.1,0.01,3.019507064455225e-05
