condition,angle_deg,paired_auc,auc_ci_low,auc_ci_high,paired_fraction,fraction_ci_low,fraction_ci_high,paired_dz,dz_ci_low,dz_ci_high,simultaneous_fraction_low,simultaneous_fraction_high
shuffled,90.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
separated,0.0,1.8805235146857058e-12,1.8803477293734736e-12,1.8807085518564768e-12,1.5759686771860013e-12,1.5758025728731085e-12,1.5761373914724685e-12,3717.0833043861794,3086.4886226200815,5119.151419028565,1.5757249120001265e-12,1.5762124423718761e-12
separated,5.0,1.8734643466207976e-12,1.8732793094500266e-12,1.8736493837915682e-12,1.5700527600065112e-12,1.5698754658833105e-12,1.5702240182114917e-12,3557.6764413658093,2932.505079497295,4831.979864158486,1.569799028620377e-12,1.5703064913926451e-12
separated,10.0,1.852194323840687e-12,1.8519907829528393e-12,1.8523978647285353e-12,1.5522274636317968e-12,1.5520378778484422e-12,1.5524137194959856e-12,3242.132189846656,2708.468716948993,4380.563464144542,1.5519521986038966e-12,1.552502728659697e-12
separated,15.0,1.8169724983844542e-12,1.8167967130722218e-12,1.817157535555225e-12,1.5227098844888964e-12,1.5225516513460718e-12,1.5228763710337491e-12,3670.518845607674,3129.3963526637594,4941.227671764292,1.522471369266283e-12,1.5229483997115098e-12
separated,20.0,1.7679191444130993e-12,1.7677248553837899e-12,1.7681134334424087e-12,1.481600831574254e-12,1.4814216699859626e-12,1.4817799167919402e-12,3261.488895596069,2749.90071563658,4337.961793200376,1.481339650501005e-12,1.4818620126475042e-12
separated,25.0,1.7055616178633197e-12,1.705395084409626e-12,1.7057281513170135e-12,1.4293422365622352e-12,1.4291869907201765e-12,1.4294972248445796e-12,3605.6642064186053,3073.5945390028564,4801.933587173806,1.4291143192358182e-12,1.4295701538886522e-12
separated,30.0,1.6302422375010413e-12,1.630084955905886e-12,1.6303995190961966e-12,1.3662209950566194e-12,1.3660698877191598e-12,1.3663707243185352e-12,3593.057611213613,3010.6691490598546,4879.048952533355,1.3660023784406307e-12,1.3664396116726085e-12
separated,35.0,1.5425438704141925e-12,1.542349581384883e-12,1.5427289075849633e-12,1.2927255672252337e-12,1.2925534562088334e-12,1.2928966321962645e-12,2960.1296182612687,2518.2389027398535,3965.4559866385266,1.2924744815113695e-12,1.2929766529390978e-12
separated,40.0,1.4431048948419327e-12,1.442938361388239e-12,1.4432714282956265e-12,1.209390947567162e-12,1.2092410287679497e-12,1.209544310452165e-12,3160.9569091009544,2634.376956534945,4320.886258016665,1.209170971956832e-12,1.209610923177492e-12
separated,45.0,1.3327579780527306e-12,1.3326006964575754e-12,1.3329060077893473e-12,1.1169149564728833e-12,1.1167666876083845e-12,1.1170506242561598e-12,3083.379339015203,2483.213264301703,4368.517259221984,1.1167066899137727e-12,1.117123223031994e-12
separated,50.0,1.2120859871345147e-12,1.2119564611149751e-12,1.2122062612955158e-12,1.015786050612316e-12,1.015668636189778e-12,1.0159010159999808e-12,3452.211356634192,2887.3750389121446,4654.263350287404,1.0156168775304944e-12,1.0159552236941376e-12
separated,55.0,1.082236152546064e-12,1.0820973746679858e-12,1.0823749304241421e-12,9.069656813038195e-13,9.068325835728833e-13,9.070983896866921e-13,2683.9657516379043,2273.2106710966186,3508.552659387678,9.067713958538179e-13,9.071599667538211e-13
separated,60.0,9.440226378387706e-13,9.438838599606925e-13,9.441614157168488e-13,7.911361404152186e-13,7.910073631225702e-13,7.91256718277164e-13,2451.9763700765143,2113.4948970735136,3177.8093458386456,7.909506329731667e-13,7.913216478572706e-13
separated,65.0,7.984261400177198e-13,7.983058658567188e-13,7.98546414178721e-13,6.691193086708916e-13,6.690107799376953e-13,6.692237249109665e-13,2476.598325646027,2018.895695920633,3508.91474046965,6.689639718614271e-13,6.69274645480356e-13
separated,70.0,6.466494006929224e-13,6.465198746733828e-13,6.467696748539235e-13,5.419231386081234e-13,5.418110729392049e-13,5.420271674911577e-13,1963.5491454828432,1606.697663923362,2692.671404294671,5.417644585641356e-13,5.420818186521117e-13
